game_id,game_date,minutes,field_goals_made,field_goals_attempted,opponent_team_display_name,fg_percentage
401721254,2024-09-25,40,10,23,Connecticut Sun,0.43478260869565216
401721253,2024-09-22,36,4,17,Connecticut Sun,0.23529411764705882
401620454,2024-09-19,20,2,5,Washington Mystics,0.4
401620441,2024-09-15,36,10,22,Dallas Wings,0.45454545454545453
401620437,2024-09-13,34,7,18,Las Vegas Aces,0.3888888888888889
401620432,2024-09-11,38,6,22,Las Vegas Aces,0.2727272727272727
401620425,2024-09-08,45,7,17,Atlanta Dream,0.4117647058823529
401620421,2024-09-06,36,8,21,Minnesota Lynx,0.38095238095238093
401620416,2024-09-04,40,8,17,Los Angeles Sparks,0.47058823529411764
401620409,2024-09-01,37,10,19,Dallas Wings,0.5263157894736842
401620402,2024-08-30,32,8,14,Chicago Sky,0.5714285714285714
401620397,2024-08-28,38,7,17,Connecticut Sun,0.4117647058823529
401620393,2024-08-26,37,6,14,Atlanta Dream,0.42857142857142855
401620390,2024-08-24,38,8,18,Minnesota Lynx,0.4444444444444444
401620377,2024-08-18,36,9,19,Seattle Storm,0.47368421052631576
401620370,2024-08-16,36,8,16,Phoenix Mercury,0.5
401620458,2024-07-20,26,2,9,Team USA,0.2222222222222222
401620365,2024-07-17,40,10,19,Dallas Wings,0.5263157894736842
401620359,2024-07-14,37,5,17,Minnesota Lynx,0.29411764705882354
401620352,2024-07-12,38,8,16,Phoenix Mercury,0.5
401620346,2024-07-10,38,7,14,Washington Mystics,0.5
401620338,2024-07-06,38,7,17,New York Liberty,0.4117647058823529
401620330,2024-07-02,38,4,12,Las Vegas Aces,0.3333333333333333
401620325,2024-06-30,39,4,14,Phoenix Mercury,0.2857142857142857
401620318,2024-06-27,38,4,9,Seattle Storm,0.4444444444444444
401620313,2024-06-23,40,5,11,Chicago Sky,0.45454545454545453
401620306,2024-06-21,35,6,12,Atlanta Dream,0.5
401620301,2024-06-19,37,6,12,Washington Mystics,0.5
401620296,2024-06-16,37,7,11,Chicago Sky,0.6363636363636364
401620288,2024-06-13,35,3,11,Atlanta Dream,0.2727272727272727
401620283,2024-06-10,22,3,8,Connecticut Sun,0.375
401620273,2024-06-07,39,8,15,Washington Mystics,0.5333333333333333
401620263,2024-06-02,29,1,10,New York Liberty,0.1
401620261,2024-06-01,37,4,11,Chicago Sky,0.36363636363636365
401620255,2024-05-30,40,6,17,Seattle Storm,0.35294117647058826
401620250,2024-05-28,34,7,16,Los Angeles Sparks,0.4375
401620244,2024-05-25,29,2,8,Las Vegas Aces,0.25
401620241,2024-05-24,37,4,14,Los Angeles Sparks,0.2857142857142857
401620237,2024-05-22,33,6,16,Seattle Storm,0.375
401620232,2024-05-20,27,5,11,Connecticut Sun,0.45454545454545453
401620227,2024-05-18,34,9,17,New York Liberty,0.5294117647058824
401620224,2024-05-16,30,2,8,New York Liberty,0.25
401620219,2024-05-14,32,5,15,Connecticut Sun,0.3333333333333333
